,adf,kpss,empresa
0,0.9648681385869696,0.01,AAPL
1,0.34902452141534746,0.01,AMGN
2,0.8500128448551963,0.01,AXP
3,0.5580560049637893,0.01,BA
4,0.901058608107032,0.01,CAT
5,0.6535323501572035,0.01,CRM
6,0.15499919546496765,0.0784542949211488,CSCO
7,0.27366838079329636,0.01,CVX
8,0.7164795307754939,0.01,DIS
9,0.6211648178528788,0.01,DOW
10,0.9700494923410642,0.01,GS
11,0.8568591280417113,0.01,HD
12,0.011177287284506223,0.0166462819142267,IBM
13,0.034592026134211265,0.01,INTC
14,0.26032104048964533,0.01,JNJ
15,0.6050165087908688,0.01,JPM
16,0.02632945113576726,0.01,KO
17,0.3643343256668929,0.01,MCD
18,0.3165121623645769,0.01,MMM
19,0.021981935896793956,0.01,MRK
20,0.9735585339634549,0.01,MSFT
21,0.942955636025839,0.01,NKE
22,0.37598105464898346,0.01,PG
23,0.4302343754485587,0.08315142295309044,TRV
24,0.9380073704901059,0.01,UNH
25,0.7560230675056246,0.01,V
